#Simulation Analysis Results CSV File 2023-12-18T22:48:10.190704
#Generated on structure: ""
TimeStep,RMSD_Backbone_8020,Rad_Gyration_8020
11700.234,1.37495212816,23.7054471024
11800.236,1.41693671666,23.714886403
11900.238,1.34932920394,23.6516175362
12000.24,1.3451347331,23.5773408786
12100.242,1.38865867813,23.6366903413
12200.244,1.30037609317,23.5918527719
12300.246000000001,1.3055116644,23.5005688048
12400.248,1.37428838315,23.510589445
12500.25,1.30036169351,23.5684265245
12600.252,1.39765621538,23.6387837629
12700.254,1.39825795506,23.538770498
12800.256,1.28201036366,23.5608750281
12900.258,1.27858369276,23.4847940822
13000.26,1.29728997968,23.6007122281
13100.262,1.33478038026,23.6189669352
13200.264000000001,1.31276108306,23.6533770707
13300.266,1.30099246217,23.6481592187
13400.268,1.22004863108,23.6133720773
13500.27,1.24286455087,23.4748786585
13600.272,1.28846313094,23.5413393339
13700.274,1.2285642647,23.5682680608
13800.276,1.20111973569,23.6264999349
13900.278,1.3077581162,23.5455330555
14000.28,1.21634231386,23.5090820551
14100.282000000001,1.2430737898,23.5519108207
14200.284,1.35079849901,23.595188704
14300.286,1.25696300305,23.5640908494
14400.288,1.37407272454,23.5665272078
14500.29,1.27006588837,23.6667476398
14600.292,1.31041135965,23.6395130725
14700.294,1.27635539654,23.5897641322
14800.296,1.24917859558,23.5987915739
14900.298,1.30885547296,23.7188447571
15000.300000000001,1.31513763265,23.5515696791
15100.302,1.23591828418,23.60073617
15200.304,1.24974514803,23.4957628334
15300.306,1.25841830324,23.4578932197
15400.308,1.32144563965,23.5214550133
15500.31,1.26937721881,23.5955931426
15600.312,1.22111605242,23.5289177889
15700.314,1.38769887791,23.5265515631
15800.316,1.3197446752,23.5519548715
15900.318000000001,1.17203314156,23.6536526508
16000.32,1.30947982965,23.6083610046
16100.322,1.36615391284,23.4851965354
16200.324,1.37923984211,23.6026393166
16300.326000000001,1.29140913411,23.6508361674
16400.328,1.29609603892,23.6705156608
16500.33,1.3502758899,23.5911631226
16600.332000000002,1.28308501665,23.5227292265
16700.334,1.31075532593,23.5883375671
16800.336,1.3039644031,23.5963743186
16900.338,1.25944847953,23.5495324212
17000.34,1.42913673226,23.581461921
17100.342,1.3134797062,23.5871847033
17200.344,1.31045335887,23.6043554266
17300.346,1.43007703424,23.6480278084
17400.348,1.27833269961,23.5992856918
17500.350000000002,1.32160196723,23.5003514262
17600.352,1.32096327868,23.5283477368
17700.354,1.28665879209,23.5998298986
17800.356,1.31374877434,23.479866565
17900.358,1.32120095067,23.5785217807
18000.36,1.31106029266,23.54663128
18100.362,1.37831178392,23.494014268
18200.364,1.49325857252,23.5166807824
18300.366,1.38803015518,23.6147611218
18400.368,1.34830675877,23.6358130545
18500.37,1.37327977715,23.6290453651
18600.372,1.35550483799,23.5653489452
18700.374,1.41981934358,23.6090687265
18800.376,1.35552332048,23.6280500499
18900.378,1.33173579188,23.5622622004
19000.38,1.34517136257,23.5417254366
19100.382,1.37927458561,23.6132606526
19200.384000000002,1.37149992625,23.6194992833
19300.386,1.29210153823,23.5868346627
19400.388,1.40256508513,23.5805896766
19500.39,1.3086532164,23.6443543581
19600.392,1.35878939038,23.6028672009
19700.394,1.33447796657,23.6349274513
19800.396,1.29962825622,23.6910455493
19900.398,1.28774650532,23.6773236044
20000.4,1.33967665673,23.6341056945
20100.402000000002,1.23255212769,23.5459240775
20200.404,1.32933272942,23.5241600594
20300.406,1.35652764882,23.7016370883
20400.408,1.26541514791,23.609077698
20500.41,1.40102344721,23.6043783846
20600.412,1.38957046366,23.5749973331
20700.414,1.35379142763,23.5565444544
20800.416,1.39412939373,23.538346046
20900.418,1.28326212175,23.540537641
21000.420000000002,1.27848389234,23.5925364355
21100.422,1.30732403731,23.5394420691
21200.424,1.29426483867,23.5759220179
21300.426,1.32948037136,23.6458134947
21400.428,1.32978527521,23.4980948345
21500.43,1.26240291692,23.6771132734
21600.432,1.20209171431,23.58625714
21700.434,1.31246457494,23.6146905491
21800.436,1.30838527297,23.6132285541
21900.438000000002,1.35945117201,23.6305202328
22000.44,1.45179260636,23.500149442
22100.442,1.40247740166,23.5644324721
22200.444,1.32382569822,23.5131785409
22300.446,1.33882390932,23.5083206989
22400.448,1.35380022112,23.6013130307
22500.45,1.43455766864,23.5187300568
22600.452,1.41797638069,23.5038365261
22700.454,1.42689570438,23.5211679106
22800.456000000002,1.4263141744,23.4654656952
22900.458,1.3097078393,23.480170051
23000.46,1.37883919885,23.5722829912
23100.462,1.37485966771,23.5022258472
23200.464,1.29897031886,23.4301446291
23300.466,1.43304995237,23.5543531743
23400.468,1.35768622235,23.5743865362
23500.47,1.25781936647,23.5767341732
23600.472,1.40814382394,23.4784323365
23700.474000000002,1.34505486708,23.5177901474
23800.476,1.25072620263,23.5950840783
23900.478,1.25759279173,23.4863878668
24000.48,1.33019644161,23.6298847543
24100.482,1.27932969672,23.5708397921
24200.484,1.26696328349,23.600561776
24300.486,1.27132291276,23.662665508
24400.488,1.3695361394,23.4094174768
24500.49,1.25163279934,23.5358700785
24600.492000000002,1.21470321733,23.5505170735
24700.494,1.1399044213,23.5904362643
24800.496,1.19968343213,23.5798838806
24900.498,1.25067146953,23.5242808605
25000.5,1.17157836503,23.5872887174
25100.502,1.24210249397,23.6470510879
25200.504,1.29451694931,23.6383865668
25300.506,1.20249689395,23.5473048802
25400.508,1.21230620405,23.5538786484
25500.510000000002,1.38360085674,23.499349338
25600.512,1.29486721326,23.4449678258
25700.514,1.31324333733,23.4595285026
25800.516,1.39468338934,23.4812425438
25900.518,1.47529944466,23.3979564057
26000.52,1.37337962296,23.5433338854
26100.522,1.28103092155,23.4564471051
26200.524,1.21511596109,23.5789341928
26300.526,1.23295518271,23.4856152098
26400.528000000002,1.28726721465,23.5745430491
26500.53,1.3341209935,23.4737932759
26600.532,1.31838729929,23.5118632007
26700.534,1.25694149124,23.5167616243
26800.536,1.38851323485,23.4191897159
26900.538,1.3135074868,23.429573264
27000.54,1.32199027065,23.5661886168
27100.542,1.31811221247,23.5528623929
